ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
15812
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
ITEM: ATOMS id vx vy vz
3215 -3.10812 -1.21175 -1.50385
13546 0.711791 -2.64113 -2.40476
486 -0.103364 3.53331 -0.495818
13509 -0.75505 2.26823 1.46962
9908 -1.72575 0.876065 -2.5555
14072 0.0536193 2.84288 -0.00439656
1156 2.52845 0.0524489 -0.36901
5707 -0.556206 2.74814 -0.687196
15416 2.28749 -0.919027 1.77376
839 -2.6793 -0.389199 -1.67318
15618 -4.1878 0.250021 -0.692251
2823 -1.60026 3.59824 -2.77029
10924 1.04844 1.41324 -1.29017
3916 0.393711 -0.0180555 -2.13958
14522 1.68365 1.8432 -0.553377
2525 -2.98045 2.61735 -1.28595
14043 0.378022 -1.3116 -0.0451828
8323 2.71675 1.96273 -3.16191
964 1.4346 -1.66257 -1.87282
4056 1.53444 1.79641 -3.50139
5270 -2.17735 0.16239 -0.189709
3311 -1.74802 1.20403 0.293835
249 1.25504 2.27533 -0.654789
6609 1.83664 0.14857 1.25575
7886 2.92419 0.123848 -3.7734
10547 -2.32351 -1.25795 -0.819371
220 1.76452 -1.5397 0.434781
14599 -0.0357229 -2.95992 -0.930769
7566 1.25061 -0.0498392 -0.236273
15357 1.2912 -1.69787 -3.8012
6359 -2.26393 -1.80002 -0.291546
822 -1.18562 -2.18808 -0.542308
14126 -0.993197 0.979806 1.73129
9085 1.96182 -0.304734 -0.394296
12390 2.32908 -1.40706 -1.86714
9878 -2.17574 -0.0692108 1.68327
2729 0.0209919 1.27414 -0.601332
3740 0.441117 0.6195 -1.74976
6563 -1.04953 0.558452 2.13876
9570 -0.490764 -0.637163 -1.92325
11459 0.890093 -1.69218 2.81115
6469 -0.909067 -2.73635 0.883094
8675 -0.387755 0.0974349 3.17737
6273 -0.902273 -0.0816603 1.3659
896 -2.2 -0.606859 2.69863
12779 -0.796472 -0.769788 0.77633
7005 0.566141 0.325479 0.921937
5996 -2.21651 0.54615 -2.18226
5620 0.138684 4.04658 -0.46184
13423 0.637178 -0.965285 2.70314
14238 -2.19449 -3.0977 -0.178505
9622 1.50814 -1.84918 -2.59987
3090 0.617247 -5.30313 2.50296
15705 1.36211 2.0904 1.19216
12659 1.3431 -1.58304 2.15493
11199 -0.108959 -1.94074 2.54883
8303 1.45439 0.739535 -1.56525
7032 1.79118 -1.49061 -1.8306
5730 2.60786 1.37588 3.64748
2399 1.15178 -0.369442 1.01858
14879 3.47777 1.54786 1.88346
7501 -2.88861 -1.15409 -1.20086
15788 -0.701881 -1.93828 1.55819
10024 -0.476869 0.930715 -1.99626
1486 -0.309707 1.11247 -2.41483
6913 -2.52473 -0.190706 2.04258
336 1.71026 -4.11706 3.24951
974 1.48222 2.69199 0.465772
10563 -1.3695 1.52098 0.696203
10092 -1.04127 -0.57784 2.44599
5989 0.15159 0.522122 -0.770121
9136 -0.405977 3.06313 -0.616325
3379 -0.974893 -0.285815 2.01226
29 -0.0264166 -2.03357 2.24284
13527 2.33614 -5.08614 -0.0694086
12543 -3.21296 -3.42759 -1.87934
13990 0.276543 0.141038 -0.940888
7229 -4.18454 0.366263 -0.991651
11501 1.92383 -0.326717 -2.81054
3391 2.05526 -0.453752 -2.71995
15088 3.31052 0.646753 -1.90933
12604 -1.54309 -1.59861 0.0662152
2774 -2.26801 0.147499 1.15167
2692 -1.12706 -0.0147975 0.00189502
11931 1.31548 -1.35205 0.165737
5448 -2.85969 3.51315 3.98098
7502 -0.382947 -0.816456 0.473535
8207 0.0932395 -1.66691 1.05688
1109 -1.75373 -1.52379 3.95132
10115 1.87117 2.29832 -0.861534
13325 -0.596945 4.76458 0.937251
499 1.71133 2.83956 -0.910571
7637 -0.201795 0.16208 1.59303
6585 3.171 -0.6037 1.13768
2330 -0.964291 0.402262 -1.28092
6058 0.522683 0.775442 1.15513
9902 -0.884644 -1.9906 1.66568
1008 0.854013 0.430583 -2.53836
11816 -1.36788 -0.623819 1.89281
15144 1.34479 -0.877784 -0.00318999
4492 -0.705806 1.91267 1.95561
14899 1.26537 -1.13861 -1.6727
14574 0.592605 2.58898 -1.81295
10152 -2.23812 0.726271 2.71317
3169 1.09939 -0.602767 0.146138
4862 3.6798 -2.4002 -0.449366
2248 -0.512873 1.56777 0.950863
12831 -1.3494 -0.400264 1.21242
13449 0.15284 -2.55391 -1.83836
4737 -1.71024 -0.617618 0.912354
7937 0.0331108 0.650269 0.46001
1177 -2.07649 -0.0331692 1.28032
14016 -0.352899 -0.876283 2.55886
2318 -2.04855 0.299931 1.01095
12435 -1.46693 1.1206 0.612033
3271 0.963959 2.11159 1.11867
6558 -3.02004 -0.627942 0.751484
5224 1.73965 -1.43392 1.46619
6724 -0.0536083 0.0122064 1.32741
4365 1.86886 -1.10887 0.736789
9553 0.732813 3.66824 -1.68437
3305 -1.0691 -0.562893 -0.858469
8950 0.832025 2.73802 2.75203
2520 1.01412 0.91704 1.84643
13730 1.42983 0.134466 2.32397
10575 -2.4867 -1.69025 0.125881
11207 0.729594 1.14375 3.12069
1015 -2.37186 0.629606 -1.6483
3453 2.36027 1.33318 1.63076
1076 -0.124083 0.360711 0.535103
2369 0.418547 -1.60456 -0.388443
10716 -1.69118 -1.69562 -0.239246
6456 -1.33713 -0.880747 -1.01228
1377 0.176732 1.37937 1.06158
496 -0.067322 1.29401 -1.47979
5572 0.11345 -0.775397 -2.71038
1906 -2.3886 -2.20979 -0.863203
13734 -0.0861742 1.77593 1.21034
13437 -2.76378 0.481238 1.96535
7622 1.66114 1.81854 -0.579345
15001 1.65877 0.129934 -1.08145
11238 0.432381 4.86835 2.15735
14716 -0.824118 -4.58146 -0.330565
5687 0.927572 0.486252 2.46622
3889 1.62159 -2.75284 -1.12264
10389 -1.63847 -0.776443 -4.14584
8138 -2.32889 0.529917 -0.442639
9195 2.0561 -2.42633 -1.599
15704 -0.0339931 2.44861 -0.23165
213 -1.08017 1.218 0.66646
12691 0.620637 -2.37992 1.73108
7337 0.523585 -1.45393 3.72757
9829 2.48577 -1.30485 -1.57468
2912 1.7436 1.74625 -0.736409
13744 3.60772 -1.12477 -0.818956
12299 0.298373 -0.281361 2.32509
10564 -3.02296 -0.688795 0.742738
4769 -0.698534 2.44047 0.371089
12285 -0.557559 0.152342 -2.79045
7992 0.677352 2.13578 -1.35397
9349 -1.25591 -0.521989 1.36646
11643 0.613959 -1.21505 2.8245
11181 0.433352 0.0941739 0.424335
14056 3.35131 -2.48511 1.31009
1197 3.51446 0.494481 0.859512
6056 -1.64261 3.12373 -1.12625
8031 1.92549 -1.99582 -2.72379
5031 -0.637907 -0.283474 -1.33807
2744 -0.424027 -2.87631 0.298635
8469 1.49748 2.99121 0.417994
6961 -2.14616 -0.739297 3.79141
1113 0.528312 2.54117 2.39466
5500 -1.64379 -2.58214 1.40944
1130 1.70585 2.74291 1.12298
9974 1.7805 -0.452138 -0.699972
6069 1.83823 -0.478332 1.70981
7626 -1.32591 2.98053 -0.137485
9972 3.36657 0.544547 1.92819
10980 1.14571 0.691397 -2.38086
5521 2.11856 -1.83993 3.04391
11926 2.10444 -2.17834 2.29701
10209 -1.40966 2.97617 2.29951
